order item ID,order ID,product ID,quantity,price,total sale
1,1,327,1,2794.05,2794.05
2,2,631,2,3581.08,7162.16
3,3,374,4,3430.88,13723.52
4,4,267,1,3500.23,3500.23
5,5,452,1,2814.1,2814.1
6,6,82,3,3135.33,9405.99
7,7,395,1,1736.98,1736.98
8,8,737,2,1992.6,3985.2
9,9,107,3,2081.4,6244.2
10,10,617,1,352.34,352.34
11,11,578,3,4636.61,13909.83
12,12,438,4,4118.21,16472.84
13,13,727,2,741.87,1483.74
14,14,521,4,2990.95,11963.8
15,15,532,2,4998.6,9997.2
16,16,622,5,1086.28,5431.4
17,17,751,4,628.65,2514.6
18,18,701,5,2686.32,13431.6
19,19,573,3,2012.89,6038.67
20,20,764,4,3732.53,14930.12
21,21,640,1,1917.56,1917.56
22,22,353,2,3310.53,6621.06
23,23,748,1,2740.59,2740.59
24,24,662,1,4933.25,4933.25
25,25,180,3,730.73,2192.19
26,26,510,3,3642.31,10926.93
27,27,170,1,2974.92,2974.92
28,28,526,1,2370.03,2370.03
29,29,637,1,2686.46,2686.46
30,30,618,2,1420.54,2841.08
31,31,747,3,1950.26,5850.78
32,32,15,4,950.03,3800.12
33,33,33,3,372.01,1116.03
34,34,502,1,2703.68,2703.68
35,35,387,4,1446.07,5784.28
36,36,263,4,743.42,2973.68
37,37,302,4,2680.21,10720.84
38,38,424,3,2497.38,7492.14
39,39,41,1,654.09,654.09
40,40,244,1,1882.29,1882.29
41,41,53,5,4700.52,23502.6
42,42,568,2,2215.5,4431.0
43,43,69,3,419.03,1257.09
44,44,282,5,1723.08,8615.4
45,45,372,5,140.2,701.0
46,46,485,5,2942.36,14711.8
47,47,258,3,3495.35,10486.05
48,48,306,2,4880.47,9760.94
49,49,125,4,1178.28,4713.12
50,50,68,2,4020.88,8041.76
51,51,618,2,1420.54,2841.08
52,52,376,1,1628.93,1628.93
53,53,58,5,1020.12,5100.6
54,54,58,5,1020.12,5100.6
55,55,138,4,3529.94,14119.76
56,56,143,1,2511.38,2511.38
57,57,274,4,4570.54,18282.16
58,58,750,3,3139.98,9419.94
59,59,703,1,1716.19,1716.19
60,60,140,5,4860.32,24301.6
61,61,200,4,3910.38,15641.52
62,62,682,1,1326.62,1326.62
63,63,577,1,778.01,778.01
64,64,675,2,2081.46,4162.92
65,65,326,1,3702.59,3702.59
66,66,759,1,4474.77,4474.77
67,67,46,5,3329.49,16647.45
68,68,144,3,1539.35,4618.05
69,69,567,4,1991.61,7966.44
70,70,359,3,4704.14,14112.42
71,71,116,1,4363.73,4363.73
72,72,413,5,4755.51,23777.55
73,73,130,5,2578.2,12891.0
74,74,376,5,1628.93,8144.65
75,75,305,5,3644.15,18220.75
76,76,49,2,2756.22,5512.44
77,77,136,1,1649.85,1649.85
78,78,182,2,611.69,1223.38
79,79,2,2,4756.04,9512.08
80,80,631,1,3581.08,3581.08
81,81,489,5,4754.54,23772.7
82,82,594,4,1761.05,7044.2
83,83,174,5,1171.15,5855.75
84,84,545,5,3109.73,15548.65
85,85,522,2,1935.41,3870.82
86,86,615,3,4374.21,13122.63
87,87,441,5,469.95,2349.75
88,88,82,1,3135.33,3135.33
89,89,719,1,665.27,665.27
90,90,180,1,730.73,730.73
91,91,633,2,2582.8,5165.6
92,92,359,4,4704.14,18816.56
93,93,738,4,4092.17,16368.68
94,94,52,4,3886.91,15547.64
95,95,84,5,364.61,1823.05
96,96,32,5,894.09,4470.45
97,97,638,3,1250.23,3750.69
98,98,384,3,4393.49,13180.47
99,99,436,3,3519.8,10559.4
100,100,284,2,515.21,1030.42
101,101,282,4,1723.08,6892.32
102,102,423,5,501.47,2507.35
103,103,622,3,1086.28,3258.84
104,104,523,2,4851.08,9702.16
105,105,235,3,1016.45,3049.35
106,106,586,5,1238.72,6193.6
107,107,62,3,1393.18,4179.54
108,108,419,2,3378.97,6757.94
109,109,609,2,2541.92,5083.84
110,110,112,3,848.05,2544.15
111,111,14,5,1101.08,5505.4
112,112,137,2,2618.01,5236.02
113,113,7,4,337.51,1350.04
114,114,23,2,1496.12,2992.24
115,115,313,1,175.49,175.49
116,116,455,3,600.43,1801.29
117,117,193,4,4507.07,18028.28
118,118,148,5,2538.26,12691.3
119,119,569,4,4525.59,18102.36
120,120,744,2,2538.47,5076.94
121,121,355,2,399.32,798.64
122,122,550,1,3872.98,3872.98
123,123,244,4,1882.29,7529.16
124,124,623,2,1883.84,3767.68
125,125,8,5,4337.57,21687.85
126,126,19,5,2188.13,10940.65
127,127,546,4,1822.91,7291.64
128,128,684,4,3359.78,13439.12
129,129,464,1,2937.68,2937.68
130,130,263,4,743.42,2973.68
131,131,21,5,3078.67,15393.35
132,132,44,4,4551.14,18204.56
133,133,281,2,4455.53,8911.06
134,134,130,2,2578.2,5156.4
135,135,328,4,3078.02,12312.08
136,136,595,3,4489.1,13467.3
137,137,106,4,1284.0,5136.0
138,138,613,1,3158.11,3158.11
139,139,693,5,2562.67,12813.35
140,140,449,5,1912.48,9562.4
141,141,462,4,3263.59,13054.36
142,142,663,3,3048.59,9145.77
143,143,392,5,2092.46,10462.3
144,144,35,3,4829.88,14489.64
145,145,479,5,4848.05,24240.25
146,146,151,2,4545.92,9091.84
147,147,302,1,2680.21,2680.21
148,148,71,5,3872.61,19363.05
149,149,514,4,4337.02,17348.08
150,150,211,2,2766.23,5532.46
151,151,92,3,3580.56,10741.68
152,152,550,1,3872.98,3872.98
153,153,36,3,4051.57,12154.71
154,154,436,3,3519.8,10559.4
155,155,481,5,3165.52,15827.6
156,156,381,2,634.92,1269.84
157,157,696,1,3072.57,3072.57
158,158,530,2,4330.38,8660.76
159,159,422,2,3958.61,7917.22
160,160,138,5,3529.94,17649.7
161,161,640,3,1917.56,5752.68
162,162,207,2,552.28,1104.56
163,163,315,3,4188.1,12564.3
164,164,465,2,4812.75,9625.5
165,165,602,1,1429.02,1429.02
166,166,118,4,973.52,3894.08
167,167,324,4,1435.67,5742.68
168,168,219,4,3265.68,13062.72
169,169,263,5,743.42,3717.1
170,170,164,5,2702.08,13510.4
171,171,749,3,4537.04,13611.12
172,172,628,5,3749.98,18749.9
173,173,221,4,3305.18,13220.72
174,174,304,5,3205.28,16026.4
175,175,655,4,2186.71,8746.84
176,176,519,2,4937.02,9874.04
177,177,239,4,3245.09,12980.36
178,178,476,4,4965.18,19860.72
179,179,701,1,2686.32,2686.32
180,180,521,1,2990.95,2990.95
181,181,693,1,2562.67,2562.67
182,182,243,1,4578.58,4578.58
183,183,249,4,4819.92,19279.68
184,184,736,3,4392.14,13176.42
185,185,620,1,3753.89,3753.89
186,186,717,5,4161.57,20807.85
187,187,174,5,1171.15,5855.75
188,188,737,5,1992.6,9963.0
189,189,84,4,364.61,1458.44
190,190,109,2,1182.55,2365.1
191,191,90,2,2387.46,4774.92
192,192,131,1,2116.18,2116.18
193,193,425,5,334.92,1674.6
