order ID,order date,customer ID,seller ID,order status
1,2023-06-07,713,41,delivered
2,2023-06-25,819,9,delivered
3,2024-08-18,646,15,shipped
4,2024-01-28,377,5,delivered
5,2024-01-02,153,53,processing
6,2023-03-22,767,29,shipped
7,2024-08-25,772,53,returned
8,2024-05-20,240,7,delivered
9,2023-02-17,460,31,delivered
10,2024-05-10,152,54,delivered
11,2024-01-16,440,34,delivered
12,2023-02-27,603,11,processing
13,2023-11-17,240,42,delivered
14,2023-12-06,183,19,returned
15,2023-04-27,310,5,returned
16,2024-10-23,259,23,delivered
17,2024-08-17,460,47,delivered
18,2024-04-13,431,2,delivered
19,2023-11-20,500,43,delivered
20,2023-10-16,798,4,delivered
21,2024-03-31,76,17,delivered
22,2024-01-17,297,55,delivered
23,2023-02-13,362,31,shipped
24,2023-12-25,183,30,delivered
25,2024-07-18,59,2,delivered
26,2023-11-18,552,24,delivered
27,2023-02-06,557,10,returned
28,2024-07-04,406,28,shipped
29,2023-05-21,527,43,delivered
30,2023-07-01,732,32,processing
31,2023-04-26,785,33,shipped
32,2023-08-20,187,18,processing
33,2024-06-13,876,24,delivered
34,2023-12-30,25,37,processing
35,2023-05-24,299,30,delivered
36,2024-09-06,192,5,cancelled
37,2024-09-07,691,23,delivered
38,2024-09-01,573,30,cancelled
39,2023-06-17,131,4,returned
40,2023-11-12,761,41,delivered
41,2024-11-20,676,51,returned
42,2024-06-24,504,24,delivered
43,2023-01-20,207,3,delivered
44,2023-02-15,238,15,delivered
45,2023-11-21,192,46,returned
46,2024-09-28,28,1,delivered
47,2024-01-13,107,10,delivered
48,2023-12-15,223,45,shipped
49,2023-03-15,380,26,returned
50,2024-04-04,429,55,processing
51,2024-07-29,84,12,delivered
52,2023-09-24,498,1,delivered
53,2024-06-26,237,2,delivered
54,2024-11-06,149,11,shipped
55,2023-05-23,795,12,delivered
56,2024-01-02,851,28,delivered
57,2023-07-20,612,33,processing
58,2024-07-08,844,42,delivered
59,2024-02-09,35,3,delivered
60,2024-03-20,97,41,delivered
61,2024-07-12,868,49,delivered
62,2023-10-05,233,19,delivered
63,2024-10-02,407,18,delivered
64,2024-01-09,525,37,processing
65,2023-04-21,758,28,delivered
66,2024-05-02,489,31,delivered
67,2024-07-09,404,7,processing
68,2023-08-10,774,47,processing
69,2024-08-23,223,38,processing
70,2024-09-26,403,5,returned
71,2023-07-13,451,19,processing
72,2024-11-19,586,13,delivered
73,2023-04-09,778,39,processing
74,2023-05-22,184,28,delivered
75,2023-05-09,277,2,delivered
76,2024-09-17,895,6,delivered
77,2024-04-03,568,15,delivered
78,2023-04-17,569,28,delivered
79,2023-11-05,386,37,delivered
80,2024-03-06,493,25,delivered
81,2023-02-28,295,32,processing
82,2024-09-09,61,55,cancelled
83,2024-07-16,685,37,delivered
84,2023-12-20,622,36,processing
85,2024-11-07,146,30,delivered
86,2023-10-20,526,45,cancelled
87,2024-11-19,183,24,delivered
88,2024-04-12,315,18,delivered
89,2024-03-20,877,1,delivered
90,2023-04-27,659,3,delivered
91,2024-09-09,744,7,delivered
92,2023-10-27,809,33,delivered
93,2023-04-24,652,21,delivered
94,2023-01-09,660,14,delivered
95,2024-01-27,893,47,delivered
96,2024-01-05,36,48,returned
97,2024-05-18,789,37,delivered
98,2024-09-15,56,3,delivered
99,2023-02-25,41,49,shipped
100,2024-05-27,383,37,processing
101,2023-05-12,169,25,delivered
102,2024-08-23,171,54,processing
103,2024-07-27,618,33,delivered
104,2024-01-14,739,13,delivered
105,2024-05-12,456,53,delivered
106,2023-08-09,598,50,shipped
107,2023-11-26,491,33,delivered
108,2024-07-29,294,29,shipped
109,2023-11-18,658,19,delivered
110,2023-09-08,264,26,shipped
111,2023-12-12,247,53,delivered
112,2024-08-02,148,55,delivered
113,2023-08-23,441,38,delivered
114,2023-05-02,362,9,shipped
115,2024-05-13,222,46,delivered
116,2024-08-01,658,30,processing
117,2023-03-12,108,22,shipped
118,2023-06-17,215,43,delivered
119,2023-04-10,757,4,returned
120,2023-09-01,130,7,shipped
121,2023-11-12,576,18,delivered
122,2024-06-08,300,50,delivered
123,2024-03-31,435,6,delivered
124,2024-03-10,869,29,delivered
125,2023-09-04,362,5,delivered
126,2024-08-12,224,6,delivered
127,2023-11-26,577,34,shipped
128,2024-11-16,487,34,delivered
129,2024-03-19,577,1,processing
130,2023-03-30,374,18,delivered
131,2024-04-18,892,27,delivered
132,2023-08-16,694,10,processing
133,2024-04-25,108,39,shipped
134,2023-02-18,351,2,delivered
135,2023-05-03,423,19,delivered
136,2024-08-22,392,27,delivered
137,2023-06-09,835,54,delivered
138,2024-08-08,623,22,delivered
139,2023-07-15,76,10,shipped
140,2024-03-26,250,44,delivered
141,2024-04-30,241,27,delivered
142,2023-12-25,226,12,delivered
143,2023-08-02,817,15,delivered
144,2023-05-29,473,50,delivered
145,2023-01-24,676,55,delivered
146,2023-08-01,263,1,delivered
147,2024-04-02,15,38,processing
148,2024-10-18,341,41,delivered
149,2024-09-01,665,24,cancelled
150,2024-06-20,496,6,delivered
151,2024-07-05,441,29,delivered
152,2024-04-10,550,6,shipped
153,2023-07-02,37,38,processing
154,2024-09-27,634,48,delivered
155,2024-04-14,784,15,shipped
156,2024-01-28,769,8,processing
157,2023-03-19,175,29,processing
158,2023-11-09,436,2,delivered
159,2023-11-19,293,11,processing
160,2024-08-28,301,9,processing
161,2024-01-18,654,16,shipped
162,2023-09-24,674,24,processing
163,2024-11-14,339,34,returned
164,2023-03-19,23,43,delivered
165,2023-10-23,350,24,delivered
166,2023-01-30,849,49,delivered
167,2024-06-01,66,38,delivered
168,2024-10-04,395,38,delivered
169,2023-07-16,433,25,delivered
170,2024-08-23,570,41,delivered
171,2023-07-24,29,53,shipped
172,2024-09-29,83,33,processing
173,2024-06-11,476,44,delivered
174,2024-07-17,435,43,cancelled
175,2023-01-13,641,17,delivered
176,2024-11-04,133,7,processing
177,2024-05-23,115,27,processing
178,2023-08-02,34,36,delivered
179,2024-08-03,637,41,delivered
180,2023-07-17,78,19,delivered
181,2024-09-02,275,15,processing
182,2023-03-20,344,6,processing
183,2024-05-07,680,36,delivered
184,2024-01-14,81,5,delivered
185,2023-03-09,607,53,delivered
186,2023-06-19,721,45,delivered
187,2023-01-09,72,5,returned
188,2023-11-25,145,2,delivered
189,2023-07-30,38,43,cancelled
190,2024-02-23,474,18,processing
191,2023-07-28,171,32,returned
192,2023-07-29,40,47,delivered
193,2024-06-04,173,49,delivered
194,2023-02-03,424,29,delivered
195,2024-09-24,199,49,shipped
196,2024-08-19,888,20,shipped
197,2024-04-12,856,19,delivered
198,2024-02-20,222,52,processing
199,2024-09-16,602,16,delivered
200,2023-05-10,798,11,delivered
201,2023-02-25,675,28,delivered
202,2023-06-17,450,22,delivered
203,2024-07-10,428,27,delivered
204,2023-01-25,448,17,delivered
205,2024-02-12,645,8,processing
206,2024-11-27,432,8,processing
207,2024-08-21,322,23,delivered
208,2024-01-01,863,32,shipped
209,2023-02-14,795,44,delivered
210,2024-08-04,152,15,delivered
211,2024-02-24,824,27,shipped
212,2023-03-22,45,4,shipped
213,2023-03-07,324,40,shipped
214,2024-09-28,412,32,shipped
215,2024-04-13,261,47,shipped
216,2024-08-03,219,37,delivered
217,2024-09-07,620,54,processing
218,2024-02-05,47,10,delivered
219,2023-12-29,645,53,processing
220,2023-10-29,773,28,delivered
221,2023-08-10,688,52,delivered
222,2023-11-01,633,32,shipped
223,2024-06-25,841,32,delivered
224,2024-02-26,303,51,processing
225,2024-09-16,190,15,delivered
226,2023-11-07,772,6,shipped
227,2024-02-29,689,9,delivered
228,2024-03-17,859,38,delivered
229,2024-02-19,577,30,delivered
230,2024-05-06,864,41,shipped
231,2023-06-16,336,40,shipped
232,2023-12-25,855,16,delivered
233,2023-03-14,220,25,returned
234,2023-09-27,829,10,shipped
235,2023-12-08,660,30,cancelled
236,2024-04-01,612,9,delivered
237,2024-10-27,119,40,delivered
238,2024-02-25,621,46,delivered
239,2024-06-04,82,55,delivered
240,2023-12-21,13,7,delivered
241,2024-03-19,478,43,delivered
242,2023-02-19,299,52,delivered
243,2023-06-28,92,48,shipped
244,2023-09-11,750,49,returned
245,2023-11-27,696,55,processing
246,2023-02-01,690,40,delivered
247,2023-04-09,722,12,delivered
248,2023-07-13,276,17,delivered
249,2024-11-11,304,25,delivered
250,2023-08-20,868,47,delivered
251,2023-12-04,787,7,delivered
252,2023-05-18,837,55,delivered
253,2024-03-03,273,19,shipped
254,2023-07-16,412,17,shipped
255,2023-05-25,36,32,delivered
256,2023-12-28,422,23,delivered
257,2023-01-04,478,45,processing
258,2023-01-06,502,32,delivered
259,2023-06-03,338,26,delivered
260,2023-01-26,582,8,delivered
261,2023-03-17,628,22,delivered
262,2023-08-26,410,46,delivered
263,2024-07-15,463,55,processing
264,2024-02-05,513,8,delivered
265,2023-12-25,81,46,delivered
266,2023-07-25,479,5,delivered
267,2024-10-14,386,12,processing
268,2023-10-05,420,27,delivered
269,2023-03-02,440,20,delivered
270,2024-03-07,35,11,delivered
271,2023-03-21,895,36,delivered
272,2023-08-30,795,52,delivered
273,2023-12-22,501,2,delivered
274,2024-09-03,707,10,processing
275,2023-12-12,184,42,returned
276,2024-05-06,558,7,delivered
277,2024-11-25,148,12,delivered
278,2023-04-03,264,55,delivered
279,2023-07-12,605,16,processing
280,2023-10-04,840,31,delivered
281,2023-10-23,489,27,processing
282,2023-10-15,626,32,shipped
283,2024-09-27,859,42,cancelled
284,2024-05-14,282,40,processing
285,2024-03-01,615,27,processing
286,2023-08-05,202,25,delivered
287,2024-07-30,574,40,delivered
288,2024-10-30,606,5,delivered
289,2024-07-28,417,4,delivered
290,2023-01-02,317,53,shipped
291,2024-03-21,228,44,delivered
292,2023-02-05,68,43,shipped
293,2023-06-30,797,15,delivered
294,2023-02-11,814,13,shipped
295,2024-02-27,480,33,delivered
296,2024-04-25,677,5,delivered
297,2023-03-22,101,6,delivered
298,2023-09-26,243,45,processing
299,2023-11-16,90,25,delivered
300,2023-09-16,600,25,delivered
301,2023-03-26,127,10,delivered
302,2023-10-21,619,12,shipped
303,2024-06-09,834,3,delivered
304,2023-02-19,399,29,returned
305,2023-02-26,302,29,delivered
306,2023-09-06,494,43,delivered
307,2024-10-21,756,24,shipped
308,2024-04-13,697,24,delivered
309,2024-04-20,776,25,processing
310,2023-09-11,421,47,delivered
311,2024-02-20,613,49,returned
312,2023-01-08,765,37,shipped
313,2024-03-21,142,5,processing
314,2024-10-01,253,55,delivered
315,2024-03-04,73,11,delivered
316,2024-09-03,214,40,shipped
317,2024-05-21,379,43,shipped
318,2023-03-26,299,55,delivered
319,2024-09-23,379,22,delivered
320,2023-02-16,492,52,delivered
321,2024-01-09,684,15,shipped
322,2023-04-10,304,9,delivered
323,2023-01-09,498,50,delivered
324,2023-10-23,742,6,delivered
325,2023-07-26,237,26,delivered
326,2023-12-07,230,6,delivered
327,2024-02-09,7,32,returned
328,2023-01-31,707,43,delivered
329,2023-03-28,256,20,cancelled
330,2024-01-27,171,35,delivered
331,2023-08-29,552,43,delivered
332,2024-05-25,288,3,delivered
333,2024-04-01,740,18,shipped
334,2024-08-14,234,35,shipped
335,2024-04-29,873,52,delivered
336,2023-10-28,695,10,delivered
337,2024-04-16,493,36,cancelled
338,2023-07-12,211,30,returned
339,2023-08-03,862,26,delivered
340,2024-07-06,367,30,shipped
341,2023-11-09,229,31,delivered
342,2024-07-12,345,55,delivered
343,2024-07-29,767,4,delivered
344,2024-08-23,77,24,delivered
345,2024-10-03,460,1,processing
346,2023-10-29,265,26,delivered
347,2023-08-12,504,49,delivered
348,2024-02-12,744,29,processing
349,2023-09-17,649,38,delivered
350,2024-02-25,576,36,delivered
351,2024-05-08,245,54,processing
352,2024-04-26,429,9,delivered
353,2023-09-20,91,42,delivered
354,2023-04-27,445,32,delivered
355,2023-10-29,233,37,delivered
356,2023-04-10,863,40,processing
357,2024-09-15,454,18,shipped
358,2023-08-31,349,24,delivered
359,2023-04-19,94,40,delivered
360,2023-01-18,422,18,returned
361,2024-03-28,715,39,delivered
362,2024-03-21,490,8,delivered
363,2023-08-27,686,39,returned
364,2023-02-20,124,54,returned
365,2023-10-14,582,51,delivered
366,2023-08-06,615,11,delivered
367,2024-04-18,233,43,delivered
368,2024-02-29,64,35,delivered
369,2023-09-13,607,24,shipped
370,2023-06-02,163,52,delivered
371,2024-11-22,780,13,delivered
372,2023-11-14,304,31,delivered
373,2024-04-26,319,30,returned
374,2023-04-09,685,29,delivered
375,2023-12-06,6,42,delivered
376,2023-01-20,301,6,returned
377,2023-12-20,858,3,delivered
378,2024-11-05,101,28,delivered
379,2023-09-26,416,10,delivered
380,2023-01-28,360,34,delivered
381,2023-01-22,131,1,delivered
382,2023-09-29,895,12,delivered
383,2023-04-23,386,36,delivered
384,2023-01-17,20,52,delivered
385,2024-06-13,723,32,delivered
386,2023-11-17,295,11,delivered
387,2023-07-22,396,1,delivered
388,2024-09-22,445,48,delivered
389,2023-03-23,292,6,cancelled
390,2024-10-31,490,27,delivered
391,2023-08-08,348,15,delivered
392,2024-09-13,265,10,shipped
