shipping ID,order ID,shipping date,return date,shipping providers,delivery status
1,1,2023-06-09,,Delhivery,delivered
2,2,2023-06-28,,Delhivery,delivered
3,3,2024-08-21,,Delhivery,in_transit
4,4,2024-02-03,,FedEx,delivered
5,5,2024-01-05,,Delhivery,pending
6,6,2023-03-29,,DHL,in_transit
7,7,2024-08-30,2024-09-14,DHL,returned
8,8,2024-05-30,,Delhivery,delivered
9,9,2023-02-25,,DHL,delivered
10,10,2024-05-15,,DHL,delivered
11,11,2024-01-24,,BlueDart,delivered
12,12,2023-03-08,,FedEx,pending
13,13,2023-11-25,,DHL,delivered
14,14,2023-12-07,2023-12-16,FedEx,returned
15,15,2023-05-04,2023-05-19,DHL,returned
16,16,2024-10-31,,Delhivery,delivered
17,17,2024-08-24,,FedEx,delivered
18,18,2024-04-18,,BlueDart,delivered
19,19,2023-11-25,,FedEx,delivered
20,20,2023-10-19,,IndiaPost,delivered
21,21,2024-04-09,,Delhivery,delivered
22,22,2024-01-24,,IndiaPost,delivered
23,23,2023-02-17,,FedEx,in_transit
24,24,2023-12-26,,IndiaPost,delivered
25,25,2024-07-26,,DHL,delivered
26,26,2023-11-19,,BlueDart,delivered
27,27,2023-02-14,2023-02-18,IndiaPost,returned
28,28,2024-07-13,,Delhivery,in_transit
29,29,2023-05-23,,IndiaPost,delivered
30,30,2023-07-02,,DHL,pending
31,31,2023-04-28,,DHL,in_transit
32,32,2023-08-21,,Delhivery,pending
33,33,2024-06-15,,IndiaPost,delivered
34,34,2024-01-02,,Delhivery,pending
35,35,2023-05-29,,DHL,delivered
36,36,2024-09-11,,Delhivery,cancelled
37,37,2024-09-16,,IndiaPost,delivered
38,38,2024-09-02,,DHL,cancelled
39,39,2023-06-23,2023-06-27,DHL,returned
40,40,2023-11-19,,IndiaPost,delivered
41,41,2024-11-30,2024-12-11,BlueDart,returned
42,42,2024-06-29,,FedEx,delivered
43,43,2023-01-23,,BlueDart,delivered
44,44,2023-02-17,,Delhivery,delivered
45,45,2023-11-23,2023-12-07,BlueDart,returned
46,46,2024-10-07,,BlueDart,delivered
47,47,2024-01-21,,DHL,delivered
48,48,2023-12-20,,Delhivery,in_transit
